s.n.,Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
104,ScarletWitch,254,679,152,98,15678,214,35,115,56,62893,11,26578,Platinum
105,SpectralRogue,245,642,148,96,15432,218,34,115,57,61784,11,25967,Platinum
106,EternalShadow,209,579,135,88,14267,203,29,101,51,59987,10,25046,Platinum
107,CrimsonStorm,226,638,159,105,15694,223,34,117,57,61987,11,26345,Platinum
108,VenomousViper,246,674,163,107,16056,219,35,120,58,62894,11,26746,Platinum
109,FrostFury,216,553,129,81,13587,191,29,99,49,59987,10,25056,Platinum
110,ViperStrike,202,533,110,72,13157,189,28,96,47,55478,10,23156,Platinum
111,EternalBlaze,226,622,140,96,14986,215,33,109,54,61187,11,25789,Platinum
112,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
113,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
114,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
115,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
116,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
117,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
118,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
119,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
120,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
121,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
122,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
123,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
124,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
125,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
126,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
127,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
128,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
129,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
130,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
131,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
132,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
133,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
134,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
135,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
136,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
137,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
138,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
139,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
140,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
141,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
142,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
143,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
144,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
145,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
146,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
147,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
148,BlazeRanger,225,603,139,93,14678,207,31,106,52,60967,11,25479,Platinum
149,RagingFire,239,625,142,97,15123,218,33,110,55,61976,11,25578,Platinum
150,PhoenixWings,226,617,136,89,14456,201,30,105,53,60487,11,25267,Platinum
151,IceStorm,218,589,127,83,13987,205,29,98,50,59967,10,24878,Platinum
152,MoonlitSorcerer,221,598,150,99,15087,213,32,108,54,61489,11,25979,Platinum
153,CosmicGhost,239,655,170,112,15567,221,34,115,56,62367,11,26078,Platinum
154,StormRider,206,542,124,81,13345,194,29,97,49,58678,10,24789,Platinum
155,EternalFlame,223,591,130,85,14234,199,30,103,52,60178,11,25356,Platinum
156,StarlightBlade,248,652,157,103,15578,217,33,110,54,61287,11,25778,Platinum
157,FrozenFlare,206,553,117,76,13756,196,29,96,49,58789,10,24579,Platinum
158,AbyssGuardian,220,597,144,98,14967,212,32,108,54,60978,11,25679,Platinum
159,SpectralPhantom,225,624,149,100,15345,219,33,110,55,61789,11,25967,Platinum
160,SniperLion,312,823,218,112,18975,312,42,189,95,89042,15,33652,Diamond
161,SavageQueen,332,748,193,122,17654,272,47,211,89,78216,14,32598,Diamond
162,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
163,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
164,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
165,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
166,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
167,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
168,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
169,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
170,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
171,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
172,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
173,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
174,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
175,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
176,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
177,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
178,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
179,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
180,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
181,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
182,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
183,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
184,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
185,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
186,SteelGuardian,289,703,175,101,17481,222,37,134,59,68937,11,29673,Diamond
187,RuthlessRaptor,336,826,222,139,20357,278,48,178,76,75894,15,31984,Diamond
188,StormStrider,257,654,147,92,15645,201,34,118,54,62891,11,26587,Diamond
189,ShadowReign,241,662,168,117,16092,232,35,119,59,62987,12,26679,Diamond
190,MidnightSage,247,681,173,119,16098,224,36,120,58,62974,11,26678,Diamond
191,RagingTiger,288,731,188,124,16679,230,37,128,61,66678,12,28056,Diamond
192,BlazingRaptor,296,786,192,131,17845,246,40,138,66,68876,13,29245,Diamond
193,WickedStrider,232,619,154,100,14976,213,32,110,53,61587,11,25789,Diamond
194,ShadowBlade,267,702,178,116,16687,227,36,125,62,65789,12,27546,Diamond
195,RapidPhantom,285,729,185,127,17568,238,38,130,65,67689,13,28456,Diamond
196,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
197,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
198,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
199,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
200,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
201,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
202,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
203,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
204,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
205,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
206,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
207,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
208,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
209,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
210,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
211,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
212,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
213,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
214,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
215,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
216,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
217,ShadowDancer,242,662,165,110,15789,225,35,118,59,62867,12,26589,Diamond
218,RadiantBlade,263,692,174,116,16456,226,35,120,58,63345,12,26789,Diamond
219,TempestPhantom,295,728,184,126,17134,238,38,130,65,67234,13,28067,Diamond
220,LunarShadow,267,697,173,120,16245,231,36,125,62,64876,12,27456,Diamond
221,CrimsonRider,294,743,187,132,17567,242,39,133,67,66987,13,28345,Diamond
